731667,9.9,8.5,0,16.6,3.1,71.8,30,3.8
731668,9.1,9.4,0,16.5,1.5,69.3,125.8,4.4
731669,11,7.5,0,17.2,4.4,68.3,0.9,4.1
731670,10.9,7.6,0,16.1,5.5,74.1,21.3,6.4
731671,7.4,11.1,0,12.3,2.5,64.1,51.3,7.6
731672,7.8,10.7,0,15.4,0,54.5,0.6,8.9
731673,7.2,11.2,0,11.2,3.3,80.9,412.4,10.9
731674,4.6,13.8,0,7.4,1.5,75.7,186.4,8.6
731675,4.7,13.8,0,9.6,-0.5,69.2,76.2,7.6
731676,5.4,12.9,0,9.4,1.6,65.5,5.1,12.2
731677,2.5,16,0,6.4,-1.6,56.2,9.5,9.9
731678,-0.2,18.6,0,3.7,-4.1,55.8,17.6,7.9
731679,-0.4,18.8,0,4.8,-5.6,55.5,1.4,5.2
731680,0.7,17.8,0,5.8,-4.5,58.9,1.1,6
731681,1.9,16.5,0,6,-2.2,74.1,53.3,4.8
731682,3.7,14.8,0,8.3,-1,67.8,68.1,5.5
731683,6.3,12.1,0,13,-0.5,56.5,2.1,4.3
731684,8.6,9.7,0,16.3,1,52.3,1.1,5.3
731685,11,7.5,0,18.5,3.3,47.1,0,9.8
731686,13.5,5,0,21.4,5.6,46.5,0.3,9.5
731687,13.4,5.1,0,20.4,6.2,43.1,0.3,9
731688,12.3,6.1,0,19.3,5.4,42.5,0.6,8.3
731689,9,9.4,0,14.8,3.3,61.3,6.2,10
731690,7,11.4,0,11,3,76,42.5,10.3
731691,11.2,7.3,0,18.7,3.7,59.2,224.2,8.4
731692,13.7,4.7,0,20.6,6.6,51.8,11.5,7.5
731693,12.8,5.6,0,19.1,6.6,58.6,47.5,5.9
731694,11.9,6.5,0,19,4.9,55.7,46.3,5.4
731695,11.9,6.6,0,19.8,3.9,53.3,1,4.2
731696,14.1,4.4,0,21.4,6.5,50.6,0.3,5.8
731697,15.1,3.4,0.1,20.4,9.8,66.7,38.8,7.4
731698,12,5.9,0,15.5,8.7,73.2,653.1,10.8
731699,14,4.5,0,19.8,8,64.9,148.7,7.6
731700,15,3.4,0,19.5,10.4,67.9,77.1,9.2
731701,14,4.5,0,19.5,8.6,78.4,87.5,7.2
731702,13.1,5.4,0,17.2,9,66.1,393.8,11
731703,13.7,4.8,0,20.1,7.1,61.6,135.6,7
731704,12.2,5.6,0,16.9,7.6,64.2,233.3,12.5
731705,14.4,4,0,22.8,6,49.7,44.5,6.6
731706,18.6,0.7,0.9,27.4,9.8,49.6,7.6,6.4
731707,16.9,2.5,1,22.4,11.4,69.4,66.7,6.5
731708,14.7,4.1,0.3,20.4,8.9,64.8,19.9,5.4
731709,16.5,2.3,0.3,24.5,8.5,61.8,0.6,5.3
731710,15.2,3.4,0.1,20,10.1,78.3,254.4,4.7
731711,13.2,5.1,0,17.9,8.7,73.8,225.4,3.8
731712,13.8,4.1,0,19.9,7.7,67.7,55.3,4
731713,14.9,3.6,0,19.3,10.4,71.9,101.6,6.1
731714,11.1,7.4,0,15.4,6.7,79.2,338.4,7.3
731715,9.1,9.4,0,13.1,4.8,74.1,252.9,8.3
731716,9,9.4,0,13.5,4.4,73.1,219.7,5.9
731717,9.4,9.1,0,16.4,2.4,62.2,65.6,4.2
731718,12.7,5.8,0,18,7.3,67.9,25.4,6.2
731719,13.9,4.1,0,18,9.6,78.7,168.7,7.4
731720,14.8,3.9,0,18,11.3,83.6,601.6,6.6
731721,12.5,5.9,0,16.2,8.9,71.4,850.9,9.5
731722,11.8,6.8,0,15.4,8,77.3,172.9,7.3
731723,12.1,6.4,0,16,7.8,80.9,160.7,6.7
731724,15.7,2.7,0,19.6,11.7,77.2,257.6,8.1
731725,18,1.4,1,24.3,11.4,67.8,124.3,5.7
731726,16.8,2.2,0.6,21.4,12.1,75.6,256.9,6.5
731727,14.2,3.8,0,18.3,10,75.6,191.7,5.4
731728,15.8,2.7,0,20.7,10.8,69.4,2.9,4.9
731729,16.8,1.7,0.1,21.9,12,64.3,15.4,6
731730,18.1,0.9,0.5,24.7,11.6,60,36.9,5.7
731731,20,0.3,1.7,27,12.7,57.6,5,4.2
731732,19.2,0.4,1.2,24.9,13.3,71,34.3,4.8
